bidNtceNo,bidNtceOrd,ntceKindNm,bidNtceNm,bidNtceDtlUrl,opengDt
20241101719,00,일반,인천남촌초 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241101719&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-12 11:00:00
20241103251,00,일반,용마초 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241103251&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-13 11:00:00
20241111800,00,일반,인천고잔고 고교학점제 학교공간조성 공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241111800&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-19 11:00:00
20241113621,00,긴급,[긴급]부일중학교 본관동 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241113621&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-19 11:00:00
20241113621,01,취소,[긴급]부일중학교 본관동 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241113621&bidseq=01&releaseYn=Y&taskClCd=3,2024-11-19 11:00:00
20241116907,00,일반,연수고 고교학점제 학교공간 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241116907&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-21 11:00:00
20241116953,00,일반,인천남동고 고교학점제 학교공간 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241116953&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-21 11:00:00
20241118413,00,긴급,인천과학고 고교학점제 학교공간조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241118413&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-20 11:00:00
20241118818,00,긴급,인천국제고 고교학점제 학교공간조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241118818&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-20 11:00:00
20241121730,00,긴급,[긴급]부일중학교 본관동 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241121730&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-22 11:00:00
20241121730,01,취소,[긴급]부일중학교 본관동 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241121730&bidseq=01&releaseYn=Y&taskClCd=3,2024-11-22 11:00:00
20241124725,00,일반,강화고 고교학점제 학교환경 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124725&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-27 11:00:00
20241126017,00,일반,[긴급]세일고 고교학점제(교과교실제)학교 공간조성 건축공사,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126017&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-25 15:00:00
20241126017,01,변경,[긴급]세일고 고교학점제(교과교실제)학교 공간조성 건축공사,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126017&bidseq=01&releaseYn=Y&taskClCd=3,2024-11-28 15:00:00
20241124820,00,긴급,(긴급)인천심곡초등학교 천장설치공사(계속비) 입찰공고,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124820&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-25 11:00:00
20241126775,00,긴급,[긴급] 부흥고 고교학점제 공간조성 공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126775&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-25 11:00:00
20241131050,00,일반,인천남고 고교학점제 학교공간 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241131050&bidseq=00&releaseYn=Y&taskClCd=3,2024-11-29 11:00:00
20241135032,00,일반,인천논현고 고교학점제 학교공간조성 공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241135032&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-03 11:00:00
20241135099,00,일반,석정여고 고교학점제 학교공간 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241135099&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-03 11:00:00
20241135132,00,일반,옥련여고 고교학점제 학교공간 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241135132&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-03 11:00:00
20241136821,00,긴급,[긴급]부일중학교 본관동 천장설치공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241136821&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-03 11:00:00
20241137010,00,일반,가정고등학교 고교학점제 공간조성공사(계속비) 입찰 공고,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241137010&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-04 11:00:00
20241142668,00,긴급,[긴급]인천동수중학교 교사동 디자인이 담긴 화장실개선 및 천장설치 공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241142668&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-04 11:00:00
20241142699,00,긴급,[긴급]작전고등학교 고교학점제 공간조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241142699&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-04 11:00:00
20241142765,00,긴급,[긴급]부평공업고등학교 고교학점제 조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241142765&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-04 11:00:00
20241200196,00,긴급,(긴급)인천원당초등학교 교사동 화장실 개선공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241200196&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-09 11:00:00
20241200378,00,긴급,(긴급)인천원당고등학교 고교학점제 공간조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241200378&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-09 11:00:00
20241200452,00,긴급,(긴급)검단고등학교 고교학점제 공간조성공사(계속비) 입찰공고,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241200452&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-09 11:00:00
20241205697,00,긴급,인일여고 고교학점제 학교공간조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241205697&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-10 11:00:00
20241205697,01,취소,인일여고 고교학점제 학교공간조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241205697&bidseq=01&releaseYn=Y&taskClCd=3,2024-12-10 11:00:00
20241205909,00,긴급,인일여고 고교학점제 학교공감조성공사(계속비),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241205909&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-10 11:00:00
20241141052,00,긴급,덕신고등학교 교과교실제 학교공간 조성 공사[긴급],https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241141052&bidseq=00&releaseYn=Y&taskClCd=3,2024-12-12 11:00:00
