,bidNtceNo,bidNtceOrd,bidClsfcNo,bidNtceNm,bssamt,bssamtOpenDt,rsrvtnPrceRngBgnRate,rsrvtnPrceRngEndRate,evlBssAmt,dfcltydgrCfcnt,etcGnrlexpnsBssRate,gnrlMngcstBssRate,prftBssRate,lbrcstBssRate,sftyMngcst,sftyChckMngcst,rtrfundNon,envCnsrvcst,scontrctPayprcePayGrntyFee,mrfnHealthInsrprm,npnInsrprm,rmrk1,rmrk2,odsnLngtrmrcprInsrprm,usefulAmt,inptDt,bidPrceCalclAYn,bssAmtPurcnstcst,qltyMngcst,qltyMngcstAObjYn,opengDt,bidNtceDtlUrl
0,20241101719,00,0,인천남촌초 천장설치공사(계속비),564575000,2024-11-04 13:49:55,-3,+3,0,,,,,,10735949,0,2491171,0,0,3839653,4874030,,,497235,,2024-11-04 13:49:55,Y,498082126,0,Y,2024-11-12 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241101719&bidseq=00&releaseYn=Y&taskClCd=3
1,20241103251,00,0,용마초 천장설치공사(계속비),511456000,2024-11-05 16:33:48,-3,+3,0,,,,,,8008300,0,2525382,0,0,3892382,4940965,,,504063,,2024-11-05 16:33:48,Y,445358508,0,Y,2024-11-13 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241103251&bidseq=00&releaseYn=Y&taskClCd=3
2,20241111800,00,0,인천고잔고 고교학점제 학교공간조성 공사(계속비),809490000,2024-11-11 10:54:14,-3,+3,0,,,,,,15178157,0,4774690,0,0,7359250,9341784,,,953023,,2024-11-11 10:54:14,Y,702872649,0,Y,2024-11-19 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241111800&bidseq=00&releaseYn=Y&taskClCd=3
3,20241116907,00,0,연수고 고교학점제 학교공간 조성공사(계속비),852643000,2024-11-13 15:04:14,-3,+3,0,,,,,,13718340,0,4059778,0,0,6257354,7943045,,,810327,,2024-11-13 15:04:14,Y,607456787,0,Y,2024-11-21 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241116907&bidseq=00&releaseYn=Y&taskClCd=3
4,20241116953,00,0,인천남동고 고교학점제 학교공간 조성공사(계속비),622193000,2024-11-13 15:05:50,-3,+3,0,,,,,,7906760,0,3505979,0,0,5403781,6859525,,,699789,,2024-11-13 15:05:50,Y,386574438,0,Y,2024-11-21 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241116953&bidseq=00&releaseYn=Y&taskClCd=3
5,20241118413,00,0,인천과학고 고교학점제 학교공간조성공사(계속비),575707000,2024-11-14 10:53:28,-3,+3,0,,,,,,8604304,0,2109327,0,0,3251115,4126944,,,421019,,2024-11-14 10:53:28,Y,497156235,0,Y,2024-11-20 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241118413&bidseq=00&releaseYn=Y&taskClCd=3
6,20241118818,00,0,인천국제고 고교학점제 학교공간조성공사(계속비),642950000,2024-11-14 13:35:04,-3,+3,0,,,,,,11856086,0,3815537,0,0,5880904,7465181,,,761577,,2024-11-14 13:35:04,Y,561573760,0,Y,2024-11-20 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241118818&bidseq=00&releaseYn=Y&taskClCd=3
7,20241124725,00,0,강화고 고교학점제 학교환경 조성공사(계속비),763830000,2024-11-19 14:22:01,-3,+3,0,,,,,,14137760,0,5064925,0,0,7806592,9909637,,,1010953,,2024-11-19 14:22:01,Y,661832958,0,Y,2024-11-27 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124725&bidseq=00&releaseYn=Y&taskClCd=3
8,20241126017,01,0,[긴급]세일고 고교학점제(교과교실제)학교 공간조성 건축공사,774609000,2024-11-22 10:34:28,-3,+3,0,,,,,,14715560,0,0,0,0,7235147,9184249,,,936951,,2024-11-22 10:34:28,Y,675582844,0,Y,2024-11-28 15:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126017&bidseq=01&releaseYn=Y&taskClCd=3
9,20241124820,00,0,(긴급)인천심곡초등학교 천장설치공사(계속비) 입찰공고,534181000,2024-11-19 15:54:07,-3,+3,0,,,,,,9674744,0,2469159,0,0,3805726,4830964,,,492841,,2024-11-19 15:54:07,Y,468342590,0,Y,2024-11-25 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124820&bidseq=00&releaseYn=Y&taskClCd=3
10,20241126775,00,0,[긴급] 부흥고 고교학점제 공간조성 공사(계속비),525085000,2024-11-20 08:37:13,-3,+3,0,,,,,,11576461,0,3581237,0,0,5519777,7006769,,,714811,,2024-11-20 08:37:13,Y,455746620,0,Y,2024-11-25 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126775&bidseq=00&releaseYn=Y&taskClCd=3
11,20241131050,00,0,인천남고 고교학점제 학교공간 조성공사(계속비),757955000,2024-11-21 17:46:41,-3,+3,0,,,,,,10416837,0,4816856,0,0,7424241,9424283,,,961439,,2024-11-21 17:46:41,Y,494143227,0,Y,2024-11-29 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241131050&bidseq=00&releaseYn=Y&taskClCd=3
12,20241135032,00,0,인천논현고 고교학점제 학교공간조성 공사(계속비),758571000,2024-11-25 15:42:23,-3,+3,0,,,,,,11998194,0,4430834,0,0,6829264,8669023,,,884389,,2024-11-25 15:42:23,Y,573382805,0,Y,2024-12-03 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241135032&bidseq=00&releaseYn=Y&taskClCd=3
13,20241135099,00,0,석정여고 고교학점제 학교공간 조성공사(계속비),782423000,2024-11-25 15:44:13,-3,+3,0,,,,,,11663393,0,5081515,0,0,7832161,9942095,,,1014264,,2024-11-25 15:44:13,Y,550063484,0,Y,2024-12-03 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241135099&bidseq=00&releaseYn=Y&taskClCd=3
14,20241135132,00,0,옥련여고 고교학점제 학교공간 조성공사(계속비),628397000,2024-11-25 15:45:40,-3,+3,0,,,,,,6887093,0,3381874,0,0,5212498,6616711,,,675018,,2024-11-25 15:45:40,Y,333021690,0,Y,2024-12-03 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241135132&bidseq=00&releaseYn=Y&taskClCd=3
15,20241136821,00,0,[긴급]부일중학교 본관동 천장설치공사(계속비),581548000,2024-11-26 13:10:56,-3,+3,0,,,,,,10618088,0,2794216,0,0,4306737,5466944,,,557722,,2024-11-26 13:10:56,Y,509682525,0,Y,2024-12-03 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241136821&bidseq=00&releaseYn=Y&taskClCd=3
16,20241137010,00,0,가정고등학교 고교학점제 공간조성공사(계속비) 입찰 공고,819170000,2024-11-26 14:17:10,-3,+3,0,,,,,,12705521,0,3774507,0,0,5817665,7384906,,,753387,,2024-11-26 14:17:10,Y,703777220,0,Y,2024-12-04 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241137010&bidseq=00&releaseYn=Y&taskClCd=3
17,20241142668,00,0,[긴급]인천동수중학교 교사동 디자인이 담긴 화장실개선 및 천장설치 공사(계속비),786863000,2024-11-28 20:08:12,-3,+3,0,,,,,,14184264,0,6086512,0,0,9381168,11908394,,,1214861,,2024-11-28 20:08:12,Y,676315212,0,Y,2024-12-04 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241142668&bidseq=00&releaseYn=Y&taskClCd=3
18,20241142699,00,0,[긴급]작전고등학교 고교학점제 공간조성공사(계속비),571824000,2024-11-28 20:24:47,-3,+3,0,,,,,,10873524,0,3379321,0,0,5208563,6611716,,,674508,,2024-11-28 20:24:47,Y,499209343,0,Y,2024-12-04 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241142699&bidseq=00&releaseYn=Y&taskClCd=3
19,20241142765,00,0,[긴급]부평공업고등학교 고교학점제 조성공사(계속비),621203000,2024-11-28 20:37:58,-3,+3,0,,,,,,9824681,0,3308121,0,0,5098821,6472411,,,660297,,2024-11-28 20:37:58,Y,532502365,0,Y,2024-12-04 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241142765&bidseq=00&releaseYn=Y&taskClCd=3
20,20241200196,00,0,(긴급)인천원당초등학교 교사동 화장실 개선공사(계속비),689051000,2024-12-02 11:11:36,-3,+3,0,,,,,,12752725,0,5220283,0,0,8046045,10213598,,,1041963,,2024-12-02 11:11:36,Y,585658570,0,Y,2024-12-09 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241200196&bidseq=00&releaseYn=Y&taskClCd=3
21,20241200378,00,0,(긴급)인천원당고등학교 고교학점제 공간조성공사(계속비),588808000,2024-12-02 10:42:43,-3,+3,0,,,,,,11760621,0,4488256,0,0,6917769,8781372,,,895851,,2024-12-02 10:42:43,Y,502804650,0,Y,2024-12-09 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241200378&bidseq=00&releaseYn=Y&taskClCd=3
22,20241200452,00,0,(긴급)검단고등학교 고교학점제 공간조성공사(계속비) 입찰공고,864578000,2024-12-02 10:35:22,-3,+3,0,,,,,,15486417,0,5752566,0,0,8866455,11255020,,,1148205,,2024-12-02 10:35:22,Y,745329710,0,Y,2024-12-09 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241200452&bidseq=00&releaseYn=Y&taskClCd=3
23,20241205909,00,0,인일여고 고교학점제 학교공감조성공사(계속비),498795000,2024-12-04 10:20:32,-3,+3,0,,,,,,9412316,0,2885579,0,0,4447556,5645699,,,575958,,2024-12-04 10:20:32,Y,435381847,0,Y,2024-12-10 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241205909&bidseq=00&releaseYn=Y&taskClCd=3
24,20241141052,00,0,덕신고등학교 교과교실제 학교공간 조성 공사[긴급],556149000,2024-12-09 10:49:31,-3,+3,0,,,,,,8516071,0,0,0,0,4675688,5935288,,,605501,,2024-12-09 10:49:31,Y,466130150,0,Y,2024-12-12 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241141052&bidseq=00&releaseYn=Y&taskClCd=3
